Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,55.259998,58.259998,54.230000,55.400002,53.730564,325942200
2019-08-01,55.840000,56.889999,46.000000,46.810001,45.685925,509693100
2019-09-01,46.630001,50.299999,46.200001,49.410000,48.223492,369072000
2019-10-01,49.650002,49.869999,45.549999,47.509998,46.369114,403870500
2019-11-01,46.849998,48.980000,44.439999,45.310001,44.556889,437190200
2019-12-01,45.250000,48.369999,43.400002,47.959999,47.162842,424411900
2020-01-01,48.060001,49.540001,45.840000,45.970001,45.205921,379259100
2020-02-01,46.400002,50.279999,38.349998,39.930000,39.554974,560723400
2020-03-01,40.150002,41.900002,32.400002,39.310001,38.940796,991833100
2020-04-01,38.169998,43.630001,37.470001,42.380001,41.981960,488969200
2020-05-01,41.720001,47.820000,40.490002,47.820000,47.820000,491518400
2020-06-01,47.150002,48.290001,45.880001,47.830002,47.830002,90172100
