Date,Open,High,Low,Close,Adj Close,Volume
2019-07-01,50.000000,52.990002,47.180000,48.439999,45.461872,93214600
2019-08-01,48.150002,48.599998,40.439999,42.630001,40.009075,104929600
2019-09-01,42.139999,49.980000,41.150002,47.650002,45.468994,80027300
2019-10-01,47.939999,51.630001,43.830002,50.490002,48.179005,87400600
2019-11-01,50.980000,56.250000,50.900002,53.369999,50.927181,82436600
2019-12-01,53.000000,55.549999,51.049999,54.730000,52.893620,66412500
2020-01-01,55.230000,55.540001,45.919998,46.070000,44.524197,97062300
2020-02-01,46.310001,50.369999,38.049999,40.410000,39.054108,97242700
2020-03-01,41.049999,42.743999,21.950001,29.240000,28.725988,255939800
2020-04-01,27.840000,38.090000,26.924999,36.689999,36.045021,165852100
2020-05-01,34.730000,40.665001,30.900000,38.599998,37.921448,110065300
2020-06-01,38.610001,45.930000,38.180000,45.900002,45.900002,31542600
